"","X","budget","id","original_language","popularity","release_date","revenue","title","vote_average","vote_count","genre","production","country","principal_actor","secondary_actor"
"1184",1184,5.7e+07,6073,"en",21.021809,"2001-03-01",147845033,"The Mexican",5.8,441,"Romance","Pistolero Productions LLC","United States of America","Brad Pitt","Julia Roberts"
"1185",1185,2e+07,16996,"en",52.571674,"2009-03-11",136267476,"17 Again",6.1,1350,"Comedy","Offspring Entertainment","United States of America","Zac Efron","Leslie Mann"
"1186",1186,4e+07,193610,"en",34.519636,"2014-04-16",196781193,"The Other Woman",6.2,1437,"Romance","Twentieth Century Fox Film Corporation","United States of America","Cameron Diaz","Leslie Mann"
"1187",1187,4e+07,19912,"en",32.478077,"2009-08-26",186167139,"The Final Destination",5.4,831,"Mystery","Practical Pictures","United States of America","Bobby Campo","Shantel VanSanten"
"1188",1188,4e+07,296098,"en",48.445978,"2015-10-15",165478348,"Bridge of Spies",7.2,3040.9,"Thriller","TSG Entertainment","United States of America","Tom Hanks","Mark Rylance"
"1189",1189,4e+07,8007,"en",24.012986,"2001-11-17",91753202,"Behind Enemy Lines",6,457,"War","Twentieth Century Fox Film Corporation","United States of America","Owen Wilson","Gene Hackman"
"1190",1190,4e+07,32823,"en",17.869443,"2010-06-04",90029656,"Get Him to the Greek",5.9,612,"Comedy","Universal Pictures","United States of America","Jonah Hill","Russell Brand"
"1191",1191,5e+07,4380,"en",14.231899,"2004-10-15",170128460,"Shall We Dance?",5.9,297,"Romance","Miramax Films","United States of America","Richard Gere","Jennifer Lopez"
"1192",1192,4e+07,11551,"en",23.088571,"1998-07-10",54682547,"Small Soldiers",6.2,511,"Science Fiction","Universal Pictures","United States of America","Gregory Smith","Kirsten Dunst"
"1193",1193,4e+07,10336,"en",19.833664,"1997-07-31",87840042,"Spawn",5,336,"Thriller","Todd McFarlane Entertainment","United States of America","Michael Jai White","Martin Sheen"
"1194",1194,3.5e+07,11362,"en",26.595983,"2002-01-23",75395048,"The Count of Monte Cristo",7.3,453,"Thriller","World 2000 Entertainment","United States of America","Jim Caviezel","Guy Pearce"
"1195",1195,4e+07,50348,"en",26.072228,"2011-03-17",85412898,"The Lincoln Lawyer",7,902,"Thriller","Sidney Kimmel Entertainment","United States of America","Matthew McConaughey","Marisa Tomei"
"1196",1196,3e+07,48138,"en",38.643914,"2011-02-16",130786397,"Unknown",6.5,1265,"Thriller","TF1 Films Production","United Kingdom","Liam Neeson","Diane Kruger"
"1197",1197,4e+07,1124,"en",67.3859622,"2006-10-19",109676311,"The Prestige",8,3040.9,"Thriller","Warner Bros.","United States of America","Hugh Jackman","Christian Bale"
"1198",1198,4.2e+07,227159,"en",67.3859622,"2014-11-26",107670357,"Horrible Bosses 2",6.1,1536,"Comedy","RatPac Entertainment","United States of America","Jason Bateman","Jason Sudeikis"
"1199",1199,4e+07,68179,"en",18.14218,"2013-02-14",74597643,"Escape from Planet Earth",5.7,332,"Science Fiction","Weinstein Company, The","United States of America","Brendan Fraser","Rob Corddry"
"1200",1200,4e+07,1579,"en",41.570047,"2006-12-07",120175290,"Apocalypto",7.3,1221,"Thriller","Touchstone Pictures","United States of America","Rudy Youngblood","Raoul Max Trujillo"
"1201",1201,4e+07,708,"en",23.331459,"1987-06-29",191185897,"The Living Daylights",6.2,440,"Thriller","United Artists","United States of America","Timothy Dalton","Maryam d'Abo"
"1202",1202,4e+07,34851,"en",47.649554,"2010-07-03",126248813,"Predators",6,1206,"Thriller","Twentieth Century Fox Film Corporation","United States of America","Topher Grace","Alice Braga"
"1203",1203,0,9930,"en",7.519433,"1986-06-18",0,"Legal Eagles",5.8,51,"Thriller","Universal Pictures","United States of America","Robert Redford","Debra Winger"
"1204",1204,4e+07,1586,"en",32.908414,"2004-03-12",92913171,"Secret Window",6.4,972,"Thriller","Pariah Entertainment Group","United States of America","Johnny Depp","John Turturro"
"1205",1205,4e+07,2044,"en",29.88736,"2006-06-16",114830111,"The Lake House",6.5,670,"Romance","Warner Bros.","United States of America","Keanu Reeves","Sandra Bullock"
"1206",1206,4.3e+07,9913,"en",29.105407,"2005-07-29",91974818,"The Skeleton Key",6.4,573,"Thriller","Universal Pictures","United States of America","Kate Hudson","Gena Rowlands"
"1207",1207,0,71864,"en",16.394452,"2012-08-15",51854875,"The Odd Life of Timothy Green",6.5,386,"Fantasy","Walt Disney Pictures","United States of America","Jennifer Garner","Joel Edgerton"
"1208",1208,4e+07,10761,"en",19.574774,"2008-05-02",84601681,"Made of Honor",6,394,"Romance","Original Film","United States of America","Patrick Dempsey","Michelle Monaghan"
"1209",1209,4e+07,209451,"en",14.199933,"2014-06-05",67347013,"Jersey Boys",6.8,255,"Music","Warner Bros.","United States of America","Christopher Walken","Vincent Piazza"
"1210",1210,4e+07,11975,"en",12.229516,"1997-11-18",45916769,"The Rainmaker",6.7,235,"Thriller","Paramount Pictures","United States of America","Matt Damon","Danny DeVito"
"1211",1211,4e+07,4970,"en",27.303608,"2003-11-21",141591324,"Gothika",5.8,629,"Thriller","Warner Bros.","United States of America","Halle Berry","Robert Downey Jr."
"1212",1212,3.6e+07,11831,"en",3.698276,"1997-12-03",7.4e+07,"Amistad",6.8,316,"Mystery","DreamWorks SKG","United States of America","Morgan Freeman","Nigel Hawthorne"
"1213",1213,4e+07,9096,"en",7.021871,"1992-02-07",0,"Medicine Man",5.8,114,"Adventure","Hollywood Pictures","United States of America","Sean Connery","Lorraine Bracco"
"1214",1214,4e+07,440,"en",39.381913,"2007-12-25",41797066,"Aliens vs Predator: Requiem",4.9,740,"Thriller","Twentieth Century Fox Film Corporation","United States of America","Steven Pasquale","Reiko Aylesworth"
"1215",1215,4e+07,11011,"en",14.398356,"1994-12-19",0,"Ri¢hie Ri¢h",5.4,415,"Family","Warner Bros.","United States of America","Macaulay Culkin","John Larroquette"
"1216",1216,6.5e+07,10641,"en",8.680334,"2000-08-11",0,"Autumn in New York",5.7,135,"Romance","Metro-Goldwyn-Mayer (MGM)","United States of America","Richard Gere","Winona Ryder"
"1217",1217,4e+07,11172,"en",17.659032,"2007-02-09",145896422,"Music and Lyrics",6.2,554,"Romance","Village Roadshow Pictures","United States of America","Drew Barrymore","Hugh Grant"
"1218",1218,4e+07,39513,"en",43.151268,"2011-02-14",97552050,"Paul",6.5,3040.9,"Science Fiction","Working Title Films","United States of America","Seth Rogen","Simon Pegg"
"1219",1219,4e+07,82687,"en",15.283444,"2012-12-19",41863726,"The Guilt Trip",5.4,284,"Comedy","Skydance Productions","United States of America","Seth Rogen","Barbra Streisand"
"1220",1220,4e+07,41446,"en",35.21926,"2011-04-11",97138686,"Scream 4",6.1,902,"Mystery","Dimension Films","United States of America","David Arquette","Neve Campbell"
"1221",1221,4e+07,8224,"en",25.580272,"1999-02-26",96618699,"8MM",6.1,474,"Thriller","Hofflund/Polone","United States of America","Nicolas Cage","Joaquin Phoenix"
"1222",1222,3.8e+07,10537,"en",10.794175,"1991-03-01",34416893,"The Doors",6.7,275,"Music","Ixtlan Productions","United States of America","Val Kilmer","Meg Ryan"
"1223",1223,4e+07,225886,"en",67.3859622,"2014-07-17",126069509,"Sex Tape",5.3,1695,"Comedy","Sony Pictures Entertainment (SPE)","United States of America","Cameron Diaz","Jason Segel"
"1224",1224,4e+07,10385,"en",3.415534,"2000-02-16",36037909,"Hanging Up",5,40,"Drama","Nora Ephron Productions","United States of America","Meg Ryan","Diane Keaton"
"1225",1225,4.7e+07,55779,"en",38.555482,"2011-08-12",157887643,"Final Destination 5",5.9,866,"Mystery","Practical Pictures","United States of America","Emma Bell","Nicholas D'Agosto"
"1226",1226,0,10154,"en",6.786117,"1999-08-16",0,"Mickey Blue Eyes",5.3,140,"Romance","Warner Bros.","United States of America","Hugh Grant","James Caan"
"1227",1227,4e+07,10647,"en",24.313684,"2000-10-12",55707411,"Pay It Forward",7,432,"Romance","Warner Bros.","United States of America","Kevin Spacey","Helen Hunt"
"1228",1228,3e+07,11431,"en",9.965073,"2005-04-06",50451307,"Fever Pitch",5.9,182,"Romance","Wildgaze Films","United States of America","Drew Barrymore","Jimmy Fallon"
"1229",1229,4e+07,8457,"en",15.055732,"2008-03-20",0,"Drillbit Taylor",5.5,275,"Comedy","Paramount Pictures","United States of America","Owen Wilson","Leslie Mann"
"1230",1230,0,188161,"en",32.808675,"2014-05-22",0,"A Million Ways to Die in the West",5.8,1468,"Western","RGB Media","United States of America","Seth MacFarlane","Charlize Theron"
"1231",1231,2.5e+07,8850,"en",8.178203,"1994-07-01",48063435,"The Shadow",5.4,138,"Thriller","Universal Pictures","United States of America","Alec Baldwin","John Lone"
"1232",1232,4e+07,64685,"en",31.066874,"2011-12-24",55247881,"Extremely Loud & Incredibly Close",6.9,708,"Drama","Warner Bros.","United States of America","Thomas Horn","Tom Hanks"
"1233",1233,4e+07,38357,"en",22.491388,"2010-01-12",58785180,"Morning Glory",6.1,412,"Romance","Goldcrest Pictures","United States of America","Rachel McAdams","Harrison Ford"
"1234",1234,4e+07,10060,"en",12.885985,"2005-11-09",46442528,"Get Rich or Die Tryin'",6.3,186,"Drama","Paramount Pictures","United States of America","50 Cent","Joy Bryant"
"1235",1235,4e+07,11398,"en",7.832337,"2000-08-23",30199105,"The Art of War",5.6,135,"Crime","Warner Bros.","United States of America","Wesley Snipes","Donald Sutherland"
"1236",1236,4e+07,1833,"en",10.433667,"2005-11-23",31670620,"Rent",6.7,155,"Romance","Revolution Studios","United States of America","Anthony Rapp","Adam Pascal"
"1237",1237,4e+07,10391,"en",3.321949,"2000-08-11",0,"Bless the Child",4.9,71,"Thriller","Paramount Pictures","United States of America","Kim Basinger","Angela Bettis"
"1238",1238,7.5e+07,8970,"en",4.842626,"1999-04-02",2.9e+07,"The Out-of-Towners",5,45,"Comedy","Paramount Pictures","United States of America","Steve Martin","Goldie Hawn"
"1239",1239,4e+07,9306,"en",13.210898,"1996-08-23",49627779,"The Island of Dr. Moreau",4.6,147,"Science Fiction","New Line Cinema","United States of America","Marlon Brando","Val Kilmer"
"1240",1240,4e+07,11370,"en",3.296933,"2001-09-07",27053815,"The Musketeer",5.2,56,"Drama","Signature Entertainment","United States of America","Catherine Deneuve","Mena Suvari"
"1241",1241,3.5e+07,12184,"en",22.939557,"2008-02-28",0,"The Other Boleyn Girl",6.4,477,"Drama","Scott Rudin Productions","United States of America","Natalie Portman","Scarlett Johansson"
"1242",1242,4e+07,1921,"en",19.372805,"2001-02-16",65754228,"Sweet November",6.4,278,"Romance","Warner Bros.","United States of America","Keanu Reeves","Charlize Theron"
"1243",1243,4e+07,1683,"en",13.445697,"2007-04-05",62771059,"The Reaping",5.4,205,"Horror","Warner Bros.","United States of America","Hilary Swank","David Morrissey"
"1244",1244,5e+05,203,"en",17.002096,"1973-10-02",3e+06,"Mean Streets",7.2,345,"Drama","Scorsese Productions","United States of America","Harvey Keitel","Robert De Niro"
"1245",1245,4e+07,11858,"en",4.516953,"1994-06-03",24332324,"Renaissance Man",5.9,81,"War","Touchstone Pictures","United States of America","Danny DeVito","Mark Wahlberg"
"1246",1246,4e+07,62835,"en",33.785969,"2011-07-27",60965854,"Colombiana",6.5,824,"Thriller","TF1 Films Production","France","Zoe Saldana","Cliff Curtis"
"1247",1247,4e+07,18937,"en",16.059443,"1998-05-15",38172500,"Quest for Camelot",6.9,190,"Romance","Warner Bros.","United States of America","Jessalyn Gilsig","Cary Elwes"
"1248",1248,4e+07,13536,"en",3.476966,"2002-09-06",22433915,"City By The Sea",5.7,92,"Mystery","Warner Bros. Pictures","United States of America","Robert De Niro","James Franco"
"1249",1249,0,15556,"en",5.778724,"1999-01-15",0,"At First Sight",5.9,48,"Romance","Metro-Goldwyn-Mayer (MGM)","United States of America","Val Kilmer","Mira Sorvino"
"1250",1250,4e+07,10718,"en",7.360793,"2004-01-16",46546197,"Torque",4.7,119,"Action","Warner Bros.","United States of America","Martin Henderson","Ice Cube"
"1251",1251,0,11062,"en",3.621837,"1996-02-16",0,"City Hall",6,67,"Thriller","Columbia Pictures","United States of America","Al Pacino","John Cusack"
"1252",1252,4.5e+07,10802,"en",14.513305,"1995-09-22",20350754,"Showgirls",4.9,256,"Drama","United Artists","United States of America","Elizabeth Berkley","Kyle MacLachlan"
"1253",1253,4e+07,1887,"en",22.364549,"2006-05-24",60474340,"Marie Antoinette",6.5,642,"History","Tohokushinsha Film","United States of America","Kirsten Dunst","Jason Schwartzman"
"1254",1254,4e+07,6071,"en",6.90894,"1995-04-21",0,"Kiss of Death",5.7,81,"Thriller","Twentieth Century Fox Film Corporation","United States of America","David Caruso","Samuel L. Jackson"
"1255",1255,63600000,10461,"en",4.494788,"2000-10-06",19412993,"Get Carter",4.8,145,"Thriller","Warner Bros.","United States of America","Sylvester Stallone","Miranda Richardson"
"1256",1256,4.2e+07,80278,"en",47.559928,"2012-09-09",180274123,"The Impossible",7,3040.9,"Thriller","Telecinco Cinema","United States of America","Naomi Watts","Ewan McGregor"
"1257",1257,5.5e+07,12704,"en",2.410546,"1987-05-15",14375181,"Ishtar",4.2,28,"Comedy","Columbia Pictures","United States of America","Warren Beatty","Dustin Hoffman"
"1258",1258,4e+07,10315,"en",41.258956,"2009-10-23",46471023,"Fantastic Mr. Fox",7.5,1176,"Family","Twentieth Century Fox Film Corporation","United States of America","George Clooney","Meryl Streep"
"1259",1259,4e+07,16643,"en",8.980846,"2002-04-26",16872671,"Life or Something Like It",5.7,124,"Romance","Regency Enterprises","United States of America","Angelina Jolie","Edward Burns"
"1260",1260,4e+07,2687,"en",7.222985,"1992-02-28",14358033,"Memoirs of an Invisible Man",5.7,125,"Science Fiction","Warner Bros.","United States of America","Chevy Chase","Daryl Hannah"
"1261",1261,1e+07,194,"fr",67.3859622,"2001-04-25",173921954,"Amélie",7.8,3040.9,"Romance","Victoires Productions","Germany","Audrey Tautou","Mathieu Kassovitz"
"1262",1262,0,11025,"en",10.0403,"2004-05-01",0,"New York Minute",5.5,185,"Comedy","Warner Bros.","United States of America","Ashley Olsen","Mary-Kate Olsen"
"1263",1263,6e+07,8849,"en",15.219263,"2004-10-22",13395939,"Alfie",5.6,248,"Comedy","Patalex Productions","United States of America","Jude Law","Marisa Tomei"
"1264",1264,4e+07,78698,"en",8.303696,"2012-02-02",24719215,"Big Miracle",6.6,152,"Romance","Working Title Films","United States of America","Drew Barrymore","John Krasinski"
"1265",1265,3.8e+07,30943,"en",4.746085,"1999-03-12",28121100,"The Deep End of the Ocean",5.9,54,"Mystery","Mandalay Entertainment","United States of America","Michelle Pfeiffer","Treat Williams"
"1266",1266,4e+07,9544,"en",6.756886,"2002-08-09",18902015,"FearDotCom",3.2,105,"Thriller","Signature Pictures","United States of America","Stephen Dorff","Natascha McElhone"
"1267",1267,4e+07,24418,"en",16.424807,"2009-10-23",28169671,"Cirque du Freak: The Vampire's Assistant",5.5,348,"Thriller","Universal Pictures","United States of America","John C. Reilly","Josh Hutcherson"
"1268",1268,4e+07,7288,"en",15.590001,"2003-09-26",19322135,"Duplex",5.9,482,"Thriller","Miramax Films","United States of America","Ben Stiller","Drew Barrymore"
"1269",1269,0,14655,"en",5.483671,"2008-11-07",0,"Soul Men",6.3,47,"Music","Dimension Films","United States of America","Samuel L. Jackson","Bernie Mac"
"1270",1270,0,24575,"en",1.630541,"1980-01-01",0,"Raise the Titanic",5.2,21,"Thriller","ITC Entertainment","United Kingdom","M. Emmet Walsh","Richard Jordan"
"1271",1271,4.5e+07,10366,"en",14.566664,"1999-08-05",10667893,"Universal Soldier: The Return",4.2,135,"Science Fiction","TriStar Pictures","United States of America","Jean-Claude Van Damme","Kiana Tom"
"1272",1272,3.3e+07,19898,"en",28.353517,"2009-09-08",20645327,"Pandorum",6.5,774,"Thriller","Impact Pictures","United Kingdom","Ben Foster","Dennis Quaid"
"1273",1273,4e+07,4965,"en",9.579975,"2001-12-03",0,"Impostor",6.1,135,"Thriller","PK Pictures","United States of America","Gary Sinise","Madeleine Stowe"
"1274",1274,4e+07,15074,"en",2.911819,"2002-11-27",10959475,"Extreme Ops",5,28,"Thriller","Paramount Pictures","United States of America","Devon Sawa","Bridgette Wilson"
"1275",1275,0,56715,"en",10.844882,"2001-04-06",0,"Just Visiting",4.8,171,"Science Fiction","Hollywood Pictures","United States of America","Jean Reno","Christina Applegate"
"1276",1276,5e+07,1272,"en",51.502884,"2007-04-05",32017803,"Sunshine",7,1182,"Thriller","UK Film Council","United States of America","Cillian Murphy","Rose Byrne"
"1277",1277,4e+07,72358,"en",13.119133,"2012-03-07",22044277,"A Thousand Words",6,373,"Drama","Varsity Pictures","United States of America","Eddie Murphy","Allison Janney"
"1278",1278,4e+07,20542,"en",4.238482,"2008-12-12",0,"Delgo",5.4,15,"Science Fiction","Fathom Studios","United States of America","Freddie Prinze Jr.","Jennifer Love Hewitt"
"1279",1279,4e+07,266396,"en",26.935458,"2015-02-16",13644292,"The Gunman",5.5,392,"Drama","TF1 Films Production","United States of America","Sean Penn","Jasmine Trinca"
"1280",1280,4e+07,9978,"en",16.282962,"2006-07-21",23937870,"Stormbreaker",5.1,213,"Family","Weinstein Company, The","United States of America","Alex Pettyfer","Sarah Bolger"
"1281",1281,2e+07,8271,"en",31.690456,"2007-04-12",117760134,"Disturbia",6.6,1006,"Thriller","Paramount Pictures","United States of America","Shia LaBeouf","Sarah Roemer"
"1282",1282,2e+07,10428,"en",17.842246,"1995-09-14",7563728,"Hackers",6.2,398,"Thriller","United Artists","United States of America","Jonny Lee Miller","Angelina Jolie"
"1283",1283,0,5353,"en",8.048305,"2007-09-03",0,"The Hunting Party",6.6,96,"Thriller","Intermedia Films","United States of America","Richard Gere","Terrence Howard"
"1284",1284,3e+07,11934,"en",14.188982,"1994-03-11",0,"The Hudsucker Proxy",7.1,275,"Drama","Working Title Films","United States of America","Tim Robbins","Jennifer Jason Leigh"
"1285",1285,4e+07,14392,"zh",6.884467,"2007-12-12",0,"The Warlords",6.3,83,"History","Talent Aid International","Hong Kong","Jet Li","Andy Lau"
"1286",1286,2.5e+07,19495,"en",8.212018,"2005-07-17",0,"Nomad: The Warrior",4.3,17,"War","Wild Bunch","Kazakhstan","Kuno Becker","Jay Hernandez"
"1287",1287,39200000,110415,"ko",67.3859622,"2013-08-01",86758912,"Snowpiercer",6.7,3040.9,"Science Fiction","Stillking Films","United States of America","Chris Evans","Song Kang-ho"
"1288",1288,2.5e+07,77459,"fr",17.375562,"2011-10-12",0,"A Monster in Paris",6.5,313,"Fantasy","Scanbox","France","Vanessa Paradis","Mathieu Chedid"
"1289",1289,0,26486,"en",6.7698,"2004-09-24",0,"The Last Shot",5.9,15,"Comedy","Touchstone Pictures","United States of America","Matthew Broderick","Alec Baldwin"
"1290",1290,1.5e+07,9495,"en",44.690107,"1994-05-11",9.4e+07,"The Crow",7.3,953,"Thriller","Miramax Films","United States of America","Brandon Lee","Rochelle Davis"
"1291",1291,4e+07,256040,"te",16.254032,"2015-07-10",1e+08,"Baahubali: The Beginning",7.5,135,"War","Arka Media Works","India","Prabhas","Rana Daggubati"
"1292",1292,3.9e+07,24420,"en",37.492928,"2009-08-14",101229792,"The Time Traveler's Wife",6.7,798,"Romance","Plan B Entertainment","United States of America","Eric Bana","Rachel McAdams"
"1293",1293,0,1257,"en",18.678415,"2007-02-02",69485490,"Because I Said So",5.8,191,"Comedy","Universal Pictures","United States of America","Diane Keaton","Mandy Moore"
"1294",1294,3.9e+07,62214,"en",27.908783,"2012-10-04",35287788,"Frankenweenie",6.6,932,"Family","Tim Burton Productions","United States of America","Charlie Tahan","Catherine O'Hara"
"1295",1295,3.9e+07,16320,"en",45.388937,"2005-08-25",38869464,"Serenity",7.4,1264,"Thriller","Universal Pictures","United States of America","Nathan Fillion","Gina Torres"
"1296",1296,3.9e+07,8842,"en",2.817364,"2004-02-20",6614280,"Against the Ropes",4.5,32,"Romance","Paramount Pictures","United States of America","Meg Ryan","Tony Shalhoub"
"1297",1297,3.9e+07,9531,"en",22.164202,"1983-06-17",75850624,"Superman III",5.3,490,"Science Fiction","Warner Bros.","United States of America","Christopher Reeve","Richard Pryor"
"1298",1298,4e+07,64807,"en",21.362949,"2013-12-25",44907260,"Grudge Match",6,433,"Comedy","Warner Bros.","United States of America","Robert De Niro","Sylvester Stallone"
"1299",1299,80341000,12289,"zh",14.8375,"2008-07-10",127814609,"Red Cliff",7.1,205,"Drama","Showbox","China","Chang Chen","Hu Jun"
"1300",1300,3e+07,11529,"en",18.256028,"2002-09-26",180622424,"Sweet Home Alabama",6,394,"Romance","Touchstone Pictures","United States of America","Reese Witherspoon","Josh Lucas"
"1301",1301,3.8e+07,20943,"en",22.332927,"2009-07-24",205298907,"The Ugly Truth",6.4,972,"Romance","Relativity Media","United States of America","Katherine Heigl","Gerard Butler"
"1302",1302,0,9099,"en",5.417787,"1996-03-29",0,"Sgt. Bilko",5.5,94,"Family","Universal Pictures","United States of America","Steve Martin","Dan Aykroyd"
"1303",1303,3.8e+07,9488,"en",24.085144,"2002-08-07",119723358,"Spy Kids 2: The Island of Lost Dreams",5.3,521,"Family","Dimension Films","United States of America","Antonio Banderas","Carla Gugino"
"1304",1304,3.8e+07,193,"en",14.779041,"1994-11-17",1.2e+08,"Star Trek: Generations",6.4,452,"Thriller","Paramount Pictures","United States of America","Patrick Stewart","Jonathan Frakes"
"1305",1305,3860000,44865,"zh",19.947265,"2013-01-08",64076736,"The Grandmaster",6.3,273,"History","Wild Bunch","Hong Kong","Tony Leung Chiu-Wai","Zhang Ziyi"
"1306",1306,3.8e+07,55787,"en",16.801218,"2011-03-15",114156230,"Water for Elephants",6.7,850,"Romance","Ingenious Media","United States of America","Robert Pattinson","Reese Witherspoon"
"1307",1307,4e+07,257932,"zh",5.057695,"2014-05-20",0,"Dragon Nest: Warriors' Dawn",6.8,19,"Fantasy","Mili Pictures","United States of America","Carrie-Anne Moss","Lucas Grabeel"
"1308",1308,5e+07,10400,"en",20.825781,"1999-09-17",73956241,"The Hurricane",7.2,396,"Drama","Universal Pictures","United States of America","Denzel Washington","Vicellous Reon Shannon"
"1309",1309,3.8e+07,1957,"en",11.500783,"2002-05-24",51801187,"Enough",6.2,264,"Thriller","Winkler Films","United States of America","Jennifer Lopez","Billy Campbell"
"1310",1310,3.5e+07,10833,"en",13.932203,"2001-03-23",0,"Heartbreakers",5.7,254,"Romance","Metro-Goldwyn-Mayer (MGM)","United States of America","Sigourney Weaver","Jennifer Love Hewitt"
"1311",1311,3.8e+07,256961,"en",41.258487,"2015-04-16",107597242,"Paul Blart: Mall Cop 2",5,567,"Family","Sony Pictures Releasing","United States of America","Kevin James","Raini Rodriguez"
"1312",1312,5.3e+07,5852,"en",6.454634,"2001-05-15",29700000,"Angel Eyes",5.6,88,"Thriller","The Canton Company","United States of America","Jennifer Lopez","Jim Caviezel"
"1313",1313,3.8e+07,12312,"en",5.257009,"2001-12-21",0,"Joe Somebody",5.5,40,"Comedy","Regency Enterprises","United States of America","Tim Allen","Julie Bowen"
"1314",1314,3.8e+07,622,"en",30.359164,"1999-08-24",58401898,"The Ninth Gate",6.3,756,"Thriller","V�a Digital","Spain","Johnny Depp","Frank Langella"
"1315",1315,3.8e+07,11306,"en",3.426555,"1996-09-27",17380126,"Extreme Measures",5.7,80,"Thriller","Simian Films","United States of America","Hugh Grant","Gene Hackman"
"1316",1316,5.7e+07,12508,"en",11.60815,"2001-09-04",16991902,"Rock Star",6,190,"Music","Warner Bros.","United States of America","Mark Wahlberg","Jennifer Aniston"
"1317",1317,1e+07,25793,"en",18.664624,"2009-11-06",47536959,"Precious",6.9,417,"Drama","Smokewood Entertainment Group","United States of America","Gabourey Sidibe","Mo'Nique"
"1318",1318,3.8e+07,10534,"en",10.047579,"1996-02-02",10300000,"White Squall",6.3,86,"Drama","Scott Free Productions","United States of America","Jeff Bridges","Caroline Goodall"
"1319",1319,1.5e+07,1091,"en",52.731379,"1982-06-25",19629760,"The Thing",7.8,1588,"Science Fiction","Universal Pictures","United States of America","Kurt Russell","Keith David"
"1320",1320,3.8e+07,87421,"en",46.630062,"2013-09-02",98337295,"Riddick",6.2,3040.9,"Thriller","Riddick Canada Productions","United States of America","Vin Diesel","Karl Urban"
"1321",1321,3.7e+07,10871,"en",4.131546,"1997-10-31",6482195,"Switchback",5.8,52,"Thriller","Rysher Entertainment","United States of America","Dennis Quaid","Danny Glover"
"1322",1322,0,13503,"en",5.641978,"2001-11-30",0,"Texas Rangers",5.4,19,"Western","Dimension Films","United States of America","James Van Der Beek","Rachael Leigh Cook"
"1323",1323,5.5e+07,13600,"en",23.465539,"2008-10-07",17869048,"City of Ember",6.2,605,"Fantasy","Walden Media","United States of America","Saoirse Ronan","Harry Treadaway"
"1324",1324,3.2e+07,68722,"en",25.682509,"2012-09-07",28258060,"The Master",7,701,"Drama","The Weinstein Company","United States of America","Joaquin Phoenix","Philip Seymour Hoffman"
"1325",1325,3.8e+07,14324,"en",6.760922,"2007-12-17",5410749,"Virgin Territory",4.3,75,"Romance","Zephyr Films","United Kingdom","Ryan Cartwright","Hayden Christensen"
"1326",1326,4e+07,14325,"en",3.87823,"2008-10-10",9793496,"The Express",7.1,71,"Drama","Relativity Media","United States of America","Rob Brown","Dennis Quaid"
"1327",1327,3.8e+07,299687,"en",57.889964,"2016-01-14",109906372,"The 5th Wave",5.6,3040.9,"Science Fiction","Material Pictures","United States of America","Chloë Grace Moretz","Nick Robinson"
"1328",1328,3.7e+07,312221,"en",57.773583,"2015-11-25",173567581,"Creed",7.3,3040.9,"Drama","Warner Bros.","United States of America","Michael B. Jordan","Sylvester Stallone"
"1329",1329,3.7e+07,23168,"en",24.218358,"2010-09-15",154026136,"The Town",7,1468,"Thriller","Warner Bros.","United States of America","Ben Affleck","Rebecca Hall"
"1330",1330,4e+07,76494,"en",27.009723,"2012-05-17",79700000,"What to Expect When You're Expecting",5.8,594,"Romance","What to Expect Productions","United States of America","Cameron Diaz","Jennifer Lopez"
"1331",1331,3.7e+07,4944,"en",31.941347,"2008-09-05",163720069,"Burn After Reading",6.5,1222,"Drama","Working Title Films","United States of America","George Clooney","Frances McDormand"
"1332",1332,3.7e+07,10488,"en",14.353279,"2008-04-03",100076342,"Nim's Island",5.6,330,"Fantasy","Walden Media","United States of America","Abigail Breslin","Jodie Foster"
"1333",1333,3.8e+07,96721,"en",33.003828,"2013-09-02",90247624,"Rush",7.7,3040.9,"Drama","Working Title Films","United Kingdom","Daniel Brühl","Chris Hemsworth"
"1334",1334,3.7e+07,334,"en",30.993736,"1999-12-08",48451803,"Magnolia",7.5,825,"Drama","The Magnolia Project","United States of America","Julianne Moore","William H. Macy"
"1335",1335,3e+07,23742,"en",25.825771,"2010-02-26",55583804,"Cop Out",5.3,511,"Crime","Warner Bros.","United States of America","Bruce Willis","Tracy Morgan"
"1336",1336,3.8e+07,259694,"en",46.078371,"2016-01-21",112343513,"How to Be Single",5.9,1201,"Romance","New Line Cinema","United States of America","Dakota Johnson","Rebel Wilson"
"1337",1337,3.7e+07,62837,"en",6.63839,"2011-09-23",95404397,"Dolphin Tale",6.7,163,"Family","Arc Productions","United States of America","Morgan Freeman","Ashley Judd"
"1338",1338,3.7e+07,8966,"en",67.3859622,"2008-11-20",369284902.7,"Twilight",5.8,3040.9,"Romance","Twilight Productions","United States of America","Kristen Stewart","Robert Pattinson"
"1339",1339,3.6e+07,8470,"en",27.465433,"2002-02-15",102244770,"John Q",7,594,"Thriller","New Line Cinema","United States of America","Denzel Washington","Robert Duvall"
"1340",1340,6.5e+07,11001,"en",16.865782,"1999-09-17",117758500,"Blue Streak",6.1,352,"Crime","Columbia Pictures","United States of America","Martin Lawrence","Luke Wilson"
